Reward:-114.920 | Episode:720 | Qmax:12.9492 | Episode Length:2 |  True | Age:31.935 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-112.851 | Episode:730 | Qmax:11.5405 | Episode Length:2 |  True | Age:31.884 | Credit Amt:1805.176 | Duration:22.718 | 
Reward:-115.222 | Episode:740 | Qmax:17.4454 | Episode Length:3 |  True | Age:32.429 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-226.744 | Episode:750 | Qmax:18.6908 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-114.667 | Episode:760 | Qmax:15.3038 | Episode Length:3 |  True | Age:31.467 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-114.429 | Episode:770 | Qmax:16.3982 | Episode Length:3 |  True | Age:30.963 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-37.103 | Episode:780 | Qmax:17.5973 | Episode Length:2 |  True | Age:29.183 | Credit Amt:2249.475 | Duration:21.973 | 
Reward:-37.653 | Episode:790 | Qmax:21.9037 | Episode Length:2 |  True | Age:29.305 | Credit Amt:2245.663 | Duration:21.973 | 
Reward:-113.750 | Episode:800 | Qmax:22.2507 | Episode Length:3 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-22.494 | Episode:810 | Qmax:22.9163 | Episode Length:2 |  True | Age:29.000 | Credit Amt:2363.980 | Duration:21.973 | 
Reward:-113.750 | Episode:820 | Qmax:19.7161 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-113.750 | Episode:830 | Qmax:21.0251 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-113.750 | Episode:840 | Qmax:25.1194 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-113.750 | Episode:850 | Qmax:22.5387 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-113.750 | Episode:860 | Qmax:25.7400 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-113.750 | Episode:870 | Qmax:24.8085 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-113.851 | Episode:880 | Qmax:4.2161 | Episode Length:2 |  True | Age:29.364 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-113.797 | Episode:890 | Qmax:12.0912 | Episode Length:2 |  True | Age:29.173 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-113.750 | Episode:900 | Qmax:29.1721 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-113.750 | Episode:910 | Qmax:12.8625 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-113.750 | Episode:920 | Qmax:32.2286 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-113.750 | Episode:930 | Qmax:14.0376 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-113.750 | Episode:940 | Qmax:23.8762 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-113.750 | Episode:950 | Qmax:13.4568 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-113.750 | Episode:960 | Qmax:15.0195 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-113.750 | Episode:970 | Qmax:10.4148 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-113.750 | Episode:980 | Qmax:20.6547 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-59.625 | Episode:990 | Qmax:21.7120 | Episode Length:2 |  True | Age:29.000 | Credit Amt:2095.632 | Duration:21.973 | 
Reward:-111.374 | Episode:1000 | Qmax:0.6071 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:22.856 | 
Reward:-20.229 | Episode:1010 | Qmax:-1.8550 | Episode Length:2 |  True | Age:29.000 | Credit Amt:2369.982 | Duration:22.526 | 
Reward:6.682 | Episode:1020 | Qmax:8.4649 | Episode Length:2 |  True | Age:29.000 | Credit Amt:2646.480 | Duration:21.973 | 
Reward:-73.742 | Episode:1030 | Qmax:4.8773 | Episode Length:2 |  True | Age:29.000 | Credit Amt:2010.817 | Duration:21.973 | 
Reward:-113.750 | Episode:1040 | Qmax:6.3765 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-54.791 | Episode:1050 | Qmax:3.9628 | Episode Length:2 |  True | Age:29.000 | Credit Amt:2123.999 | Duration:22.105 | 
Reward:-112.056 | Episode:1060 | Qmax:-2.2196 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:22.582 | 
Reward:-91.621 | Episode:1070 | Qmax:-0.3134 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1910.635 | Duration:22.151 | 
