Reward:-104.797 | Episode:1110 | Qmax:-67.4163 | Episode Length:10 |  True | Age:31.865 | Credit Amt:1826.448 | Duration:24.439 | 
Reward:-226.744 | Episode:1120 | Qmax:-67.4567 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-110.005 | Episode:1130 | Qmax:-67.6586 | Episode Length:16 |  True | Age:32.252 | Credit Amt:1806.824 | Duration:23.985 | 
Reward:-226.744 | Episode:1140 | Qmax:-67.1092 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-100.722 | Episode:1150 | Qmax:-67.0983 | Episode Length:21 |  True | Age:29.120 | Credit Amt:1821.379 | Duration:35.604 | 
Reward:-81.820 | Episode:1160 | Qmax:-67.2421 | Episode Length:27 |  True | Age:33.045 | Credit Amt:1976.018 | Duration:21.973 | 
Reward:-220.854 | Episode:1170 | Qmax:-67.4343 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:39.278 | 
Reward:-216.118 | Episode:1180 | Qmax:-67.3590 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:30.553 | 
Reward:-226.744 | Episode:1190 | Qmax:-67.6710 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-226.744 | Episode:1200 | Qmax:-68.0017 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-217.817 | Episode:1210 | Qmax:-67.7173 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:27.398 | 
Reward:-218.189 | Episode:1220 | Qmax:-67.9890 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:37.000 | 
Reward:-219.583 | Episode:1230 | Qmax:-68.3213 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:25.597 | 
Reward:-216.037 | Episode:1240 | Qmax:-68.7699 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:33.159 | 
Reward:-215.980 | Episode:1250 | Qmax:-69.1166 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:30.962 | 
Reward:-226.744 | Episode:1260 | Qmax:-69.6025 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-104.427 | Episode:1270 | Qmax:-69.7908 | Episode Length:10 |  True | Age:29.383 | Credit Amt:1805.176 | Duration:35.844 | 
Reward:-226.744 | Episode:1280 | Qmax:-70.5141 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-226.744 | Episode:1290 | Qmax:-71.8047 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-226.744 | Episode:1300 | Qmax:-72.9033 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
